Latitude, Longitude, Data Value
39, -29, 68.6314
39, -28, 82.0297
39, -27, 68.2132
39, -26, 92.3498
39, -25, 69.0653
39, -24, 39.4414
39, -23, 45.9377
38, -85, -999
38, -84, -999
38, -83, -999
38, -82, -999
38, -81, -999
38, -80, -999
38, -79, -999
38, -78, -999
38, -77, -999
38, -76, -999
38, -75, 36.6091
38, -74, 5.54687
38, -73, -0.820695
38, -72, 15.3017
38, -71, 132.211
38, -70, 183.826
38, -69, 10.5621
38, -68, -57.9856
38, -67, 201.735
38, -66, 418.26
38, -65, 299.652
38, -64, 0.232828
38, -63, -117.083
38, -62, 109.686
38, -61, 328.123
38, -60, 363.039
38, -59, 124.274
38, -58, -74.3541
38, -57, -22.9816
38, -56, 81.6565
38, -55, 104.014
